rank,priority,status,data_role,source,selection_rule,evidence_path,notes
1,0.9142,null_result,live_search,WISE,known-object density 0.89; geometry 0.90 (4.7h vis),Logs/reports/wise_selected2_review_packets.json,"ra_deg=267.89 dec_deg=-22.5 field_radius_deg=3.5; searched 2026-07-11 via recommended diagnostic subfield ra=267.7 dec=-22.5 radius=0.06 (from scale plan); 249 real WISE tracklets classified; all dominated by stellar_artifact posterior (~0.99) with neo_candidate probability ~0.001; artifact-dominated -- no genuine NEO candidate; consistent with prior WISE field-sweep history; First genuinely new ZTF DR24 discovery sweep (not Z3-tied). Nights 20200914/20200916, real UW archive ingest (12+316 kept obs), 12 tracklets linked at min_observations=2, all 12 REJECTED by adversarial_review.py (orbit_quality/artifact_posterior/real_bogus). Evidence: docs/evidence/live/2026-07-11-first-new-discovery-sweep.md"
2,0.9119,not_searched,live_search,WISE,known-object density 0.96; geometry 0.79 (4.7h vis),Logs/reports/wise_scale_plan_ra292p25_decm22p50_2458880.5_2459250.5.json,ra_deg=292.25 dec_deg=-22.5 field_radius_deg=3.5; wise_scale_probe_command=OMP_NUM_THREADS=1 OPENBLAS_NUM_THREADS=1 VECLIB_MAXIMUM_THREADS=1 NUMEXPR_MAX_THREADS=1 PYTHONPATH=src caffeinate -i uv run --python 3.14 python Skills/run_pipeline.py --ra 292.2500 --dec -22.5000 --radius 0.2000 --start-jd 2458880.5 --end-jd 2459250.5 --surveys WISE --no-resume --force-refresh --link-scale-plan-out Logs/reports/wise_scale_plan_ra292p25_decm22p50_2458880.5_2459250.5.json --output Logs/reports/wise_scale_probe_ra292p25_decm22p50_2458880.5_2459250.5.json
3,0.9106,not_searched,live_search,WISE,known-object density 0.88; geometry 0.90 (4.7h vis),Logs/reports/wise_scale_plan_ra300p36_decm22p50_2458880.5_2459250.5.json,ra_deg=300.36 dec_deg=-22.5 field_radius_deg=3.5; wise_scale_probe_command=OMP_NUM_THREADS=1 OPENBLAS_NUM_THREADS=1 VECLIB_MAXIMUM_THREADS=1 NUMEXPR_MAX_THREADS=1 PYTHONPATH=src caffeinate -i uv run --python 3.14 python Skills/run_pipeline.py --ra 300.3600 --dec -22.5000 --radius 0.2000 --start-jd 2458880.5 --end-jd 2459250.5 --surveys WISE --no-resume --force-refresh --link-scale-plan-out Logs/reports/wise_scale_plan_ra300p36_decm22p50_2458880.5_2459250.5.json --output Logs/reports/wise_scale_probe_ra300p36_decm22p50_2458880.5_2459250.5.json
4,0.8943,not_searched,live_search,WISE,known-object density 0.78; geometry 0.98 (6.1h vis),Logs/reports/wise_scale_plan_ra310p58_decm15p00_2458880.5_2459250.5.json,ra_deg=310.58 dec_deg=-15.0 field_radius_deg=3.5; wise_scale_probe_command=OMP_NUM_THREADS=1 OPENBLAS_NUM_THREADS=1 VECLIB_MAXIMUM_THREADS=1 NUMEXPR_MAX_THREADS=1 PYTHONPATH=src caffeinate -i uv run --python 3.14 python Skills/run_pipeline.py --ra 310.5800 --dec -15.0000 --radius 0.2000 --start-jd 2458880.5 --end-jd 2459250.5 --surveys WISE --no-resume --force-refresh --link-scale-plan-out Logs/reports/wise_scale_plan_ra310p58_decm15p00_2458880.5_2459250.5.json --output Logs/reports/wise_scale_probe_ra310p58_decm15p00_2458880.5_2459250.5.json
5,0.8919,not_searched,live_search,WISE,known-object density 0.85; geometry 0.89 (6.1h vis),Logs/reports/wise_scale_plan_ra318p35_decm15p00_2458880.5_2459250.5.json,ra_deg=318.35 dec_deg=-15.0 field_radius_deg=3.5; wise_scale_probe_command=OMP_NUM_THREADS=1 OPENBLAS_NUM_THREADS=1 VECLIB_MAXIMUM_THREADS=1 NUMEXPR_MAX_THREADS=1 PYTHONPATH=src caffeinate -i uv run --python 3.14 python Skills/run_pipeline.py --ra 318.3500 --dec -15.0000 --radius 0.2000 --start-jd 2458880.5 --end-jd 2459250.5 --surveys WISE --no-resume --force-refresh --link-scale-plan-out Logs/reports/wise_scale_plan_ra318p35_decm15p00_2458880.5_2459250.5.json --output Logs/reports/wise_scale_probe_ra318p35_decm15p00_2458880.5_2459250.5.json
6,0.8818,not_searched,live_search,WISE,known-object density 0.74; geometry 1.00 (6.1h vis),Logs/reports/wise_scale_plan_ra302p82_decm15p00_2458880.5_2459250.5.json,ra_deg=302.82 dec_deg=-15.0 field_radius_deg=3.5; wise_scale_probe_command=OMP_NUM_THREADS=1 OPENBLAS_NUM_THREADS=1 VECLIB_MAXIMUM_THREADS=1 NUMEXPR_MAX_THREADS=1 PYTHONPATH=src caffeinate -i uv run --python 3.14 python Skills/run_pipeline.py --ra 302.8200 --dec -15.0000 --radius 0.2000 --start-jd 2458880.5 --end-jd 2459250.5 --surveys WISE --no-resume --force-refresh --link-scale-plan-out Logs/reports/wise_scale_plan_ra302p82_decm15p00_2458880.5_2459250.5.json --output Logs/reports/wise_scale_probe_ra302p82_decm15p00_2458880.5_2459250.5.json
7,0.8716,not_searched,live_search,WISE,known-object density 0.78; geometry 0.92 (4.7h vis),Logs/reports/wise_scale_plan_ra308p48_decm22p50_2458880.5_2459250.5.json,ra_deg=308.48 dec_deg=-22.5 field_radius_deg=3.5; wise_scale_probe_command=OMP_NUM_THREADS=1 OPENBLAS_NUM_THREADS=1 VECLIB_MAXIMUM_THREADS=1 NUMEXPR_MAX_THREADS=1 PYTHONPATH=src caffeinate -i uv run --python 3.14 python Skills/run_pipeline.py --ra 308.4800 --dec -22.5000 --radius 0.2000 --start-jd 2458880.5 --end-jd 2459250.5 --surveys WISE --no-resume --force-refresh --link-scale-plan-out Logs/reports/wise_scale_plan_ra308p48_decm22p50_2458880.5_2459250.5.json --output Logs/reports/wise_scale_probe_ra308p48_decm22p50_2458880.5_2459250.5.json
8,0.8687,not_searched,live_search,WISE,known-object density 0.87; geometry 0.79 (4.7h vis),Logs/reports/wise_scale_plan_ra259p77_decm22p50_2458880.5_2459250.5.json,ra_deg=259.77 dec_deg=-22.5 field_radius_deg=3.5; wise_scale_probe_command=OMP_NUM_THREADS=1 OPENBLAS_NUM_THREADS=1 VECLIB_MAXIMUM_THREADS=1 NUMEXPR_MAX_THREADS=1 PYTHONPATH=src caffeinate -i uv run --python 3.14 python Skills/run_pipeline.py --ra 259.7700 --dec -22.5000 --radius 0.2000 --start-jd 2458880.5 --end-jd 2459250.5 --surveys WISE --no-resume --force-refresh --link-scale-plan-out Logs/reports/wise_scale_plan_ra259p77_decm22p50_2458880.5_2459250.5.json --output Logs/reports/wise_scale_probe_ra259p77_decm22p50_2458880.5_2459250.5.json
9,0.8540,not_searched,live_search,WISE,known-object density 0.70; geometry 0.97 (6.1h vis),Logs/reports/wise_scale_plan_ra295p05_decm15p00_2458880.5_2459250.5.json,ra_deg=295.05 dec_deg=-15.0 field_radius_deg=3.5; wise_scale_probe_command=OMP_NUM_THREADS=1 OPENBLAS_NUM_THREADS=1 VECLIB_MAXIMUM_THREADS=1 NUMEXPR_MAX_THREADS=1 PYTHONPATH=src caffeinate -i uv run --python 3.14 python Skills/run_pipeline.py --ra 295.0500 --dec -15.0000 --radius 0.2000 --start-jd 2458880.5 --end-jd 2459250.5 --surveys WISE --no-resume --force-refresh --link-scale-plan-out Logs/reports/wise_scale_plan_ra295p05_decm15p00_2458880.5_2459250.5.json --output Logs/reports/wise_scale_probe_ra295p05_decm15p00_2458880.5_2459250.5.json
10,0.8359,not_searched,live_search,WISE,known-object density 0.67; geometry 0.96 (6.1h vis),Logs/reports/wise_scale_plan_ra287p29_decm15p00_2458880.5_2459250.5.json,ra_deg=287.29 dec_deg=-15.0 field_radius_deg=3.5; wise_scale_probe_command=OMP_NUM_THREADS=1 OPENBLAS_NUM_THREADS=1 VECLIB_MAXIMUM_THREADS=1 NUMEXPR_MAX_THREADS=1 PYTHONPATH=src caffeinate -i uv run --python 3.14 python Skills/run_pipeline.py --ra 287.2900 --dec -15.0000 --radius 0.2000 --start-jd 2458880.5 --end-jd 2459250.5 --surveys WISE --no-resume --force-refresh --link-scale-plan-out Logs/reports/wise_scale_plan_ra287p29_decm15p00_2458880.5_2459250.5.json --output Logs/reports/wise_scale_probe_ra287p29_decm15p00_2458880.5_2459250.5.json
1,0.9238,null_result,live_search,sky_field_selector,coverage gap 0.94; pop density 0.82; geometry 0.98 (9.9h vis),,"ra_deg=89.3 dec_deg=22.5 field_radius_deg=3.5; First genuinely new ZTF DR24 discovery sweep (not Z3-tied). Nights 20200914/20200916, real UW archive ingest (12+316 kept obs), 12 tracklets linked at min_observations=2, all 12 REJECTED by adversarial_review.py (orbit_quality/artifact_posterior/real_bogus). Evidence: docs/evidence/live/2026-07-11-first-new-discovery-sweep.md"
2,0.9202,not_searched,live_search,sky_field_selector,coverage gap 0.95; pop density 0.85; geometry 0.92 (4.7h vis),,ra_deg=251.66 dec_deg=-22.5 field_radius_deg=3.5
3,0.9189,not_searched,live_search,sky_field_selector,coverage gap 0.94; pop density 0.83; geometry 0.96 (9.9h vis),,ra_deg=97.42 dec_deg=22.5 field_radius_deg=3.5
4,0.8859,not_searched,live_search,sky_field_selector,coverage gap 0.92; pop density 0.81; geometry 0.85 (4.7h vis),,ra_deg=243.54 dec_deg=-22.5 field_radius_deg=3.5
5,0.8808,not_searched,live_search,sky_field_selector,coverage gap 0.95; pop density 0.67; geometry 0.99 (10.0h vis),,ra_deg=95.26 dec_deg=30.0 field_radius_deg=3.5
6,0.8800,not_searched,live_search,sky_field_selector,coverage gap 0.91; pop density 0.83; geometry 0.81 (4.7h vis),,ra_deg=259.77 dec_deg=-22.5 field_radius_deg=3.5
7,0.8761,not_searched,live_search,sky_field_selector,coverage gap 0.94; pop density 0.66; geometry 0.98 (6.1h vis),,ra_deg=248.47 dec_deg=-15.0 field_radius_deg=3.5
8,0.8756,not_searched,live_search,sky_field_selector,coverage gap 0.89; pop density 0.83; geometry 0.83 (9.9h vis),,ra_deg=81.18 dec_deg=22.5 field_radius_deg=3.5
1,0.9238,not_searched,live_search,sky_field_selector,coverage gap 0.94; pop density 0.82; geometry 0.98 (9.9h vis),,ra_deg=89.3 dec_deg=22.5 field_radius_deg=3.5
2,0.9202,not_searched,live_search,sky_field_selector,coverage gap 0.95; pop density 0.85; geometry 0.92 (4.7h vis),,ra_deg=251.66 dec_deg=-22.5 field_radius_deg=3.5
3,0.9189,not_searched,live_search,sky_field_selector,coverage gap 0.94; pop density 0.83; geometry 0.96 (9.9h vis),,ra_deg=97.42 dec_deg=22.5 field_radius_deg=3.5
